season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
lightSpring,Lipsy Pistachio Green Linen-Blend Shirt,next,top,pistachio,253 RON,,https://www.next.ro/en/style/su878498/y72754,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y72754s.jpg,2025-01-15
lightSpring,Love & Roses Apricot Lace Blouse,next,top,apricot,298 RON,199 RON,https://www.next.ro/en/style/su900137/v24764,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V24764s.jpg,2024-12-11
lightSpring,Love & Roses Peach Pink Pointelle Cardigan,next,knit,peach,253 RON,,https://www.next.ro/en/style/sv028711/v76604,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V76604s.jpg,2024-12-12
lightSpring,Love & Roses Blue Satin Jacquard Tea Top,next,top,skyblue,283 RON,,https://www.next.ro/en/style/sv000342/g83781,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G83781s.jpg,2024-12-13
lightSpring,Love & Roses Coral Shell Cutwork Mini Kaftan,next,dress,coral,343 RON,,https://www.next.ro/ro/style/su845985/h97805,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H97805s.jpg,2024-12-13
lightSpring,Love & Roses Yellow Floral Embroidered Knitted Top,next,knit,golden,290 RON,,https://www.next.ro/en/style/sv068672/y53931,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y53931s.jpg,2024-12-14
coolSummer,Lipsy Floral Embroidered Short Sleeve Shirt,next,top,powderblue,313 RON,,https://www.next.ro/ro/style/sv148115/y88147,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y88147s.jpg,2024-12-14
brightSpring,Love & Roses Floral Embroidered Notch Neck Blouse,next,top,brighttomato,313 RON,,https://www.next.ro/ro/style/sv029298/g97246,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G97246s.jpg,2024-12-15
coolWinter,Love & Roses Broderie Shell Top,next,top,truered,283 RON,,https://www.next.ro/ro/style/sv000353/v49906,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V49906s.jpg,2024-12-15
softSummer,Love & Roses Roll Sleeve Button Through Embroidered Shirt,next,top,duskyblue,290 RON,,https://www.next.ro/ro/style/su998885/g82823,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G82823s.jpg,2024-12-16
brightWinter,Love & Roses Bib Detail Shell Top,next,top,icywhite,283 RON,,https://www.next.ro/ro/style/su964603/g63881,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G63881s.jpg,2024-12-16
deepAutumn,River Island Cutwork Tie Neck Blouse,next,top,paprika,313 RON,,https://www.next.ro/ro/style/sv192017/d89699,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/D89699s.jpg,2024-12-17
lightSummer,Love & Roses Crew Neck Crochet Insert Embroidered Blouse,next,top,chiffonyellow,290 RON,,https://www.next.ro/ro/style/sv077905/v79520,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V79520s.jpg,2024-12-17
lightSummer,Love & Roses Lace Trim Flutter Sleeve Blouse,next,top,powderblue,290 RON,,https://www.next.ro/ro/style/su999003/g82814,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G82814s.jpg,2024-12-18
deepAutumn,Lipsy Textured Jersey Midi Dress,next,dress,rust,372 RON,,https://www.next.ro/ro/style/su897655/w10862,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W10862s.jpg,2024-12-18
warmSpring,Lipsy Broderie Flutter Sleeve Midi Dress (Orange),next,dress,mango,439 RON,,https://www.next.ro/ro/style/su858407/g10322,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G10322s.jpg,2024-12-19
warmSpring,Lipsy Broderie Flutter Sleeve Midi Dress (Turquoise),next,dress,turquoise,439 RON,,https://www.next.ro/ro/style/su858407/y10978,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y10978s.jpg,2024-12-19
warmSpring,Love & Roses Lace Drop Waist Sleeveless Midi Dress,next,dress,mango,663 RON,,https://www.next.ro/ro/style/su898190/v41947,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V41947s.jpg,2024-12-20
lightSpring,Sosandar Popper Front Denim Dress,next,dress,coral,588 RON,,https://www.next.ro/ro/style/su311352/l41771,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/L41771s.jpg,2024-12-20
lightSpring,Friends Like These Draped Off The Shoulder Top (Yellow),next,top,golden,238 RON,166 RON,https://www.next.ro/ro/style/su721640/v10799,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V10799s.jpg,2024-12-20
lightSpring,Friends Like These Draped Off The Shoulder Top (Pistachio Green),next,top,pistachio,238 RON,166 RON,https://www.next.ro/ro/style/su721640/v10809,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V10809s.jpg,2024-12-21
lightSpring,Friends Like These Short Sleeve Ruffle Mini Dress,next,dress,coral,335 RON,234 RON,https://www.next.ro/ro/style/su883300/y17055,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y17055s.jpg,2024-12-21
lightSpring,Lipsy 3/4 Sleeve Embroidered Grandad Blouse,next,top,mint,313 RON,219 RON,https://www.next.ro/ro/style/su901245/y35898,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y35898s.jpg,2024-12-22
brightSpring,Love & Roses Embellished V-Neck Jersey T-Shirt (Mint),next,top,vividgreen,194 RON,,https://www.next.ro/ro/style/sv144388/y35543,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y35543s.jpg,2024-12-22
brightSpring,Love & Roses Tie Shoulder Lace Broderie Midi Dress,next,dress,brightturquoise,737 RON,515 RON,https://www.next.ro/ro/style/su894622/y26953,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y26953s.jpg,2024-12-22
lightSpring,Love & Roses Sequin V-Neck Printed Vest,next,top,mint,216 RON,151 RON,https://www.next.ro/ro/style/su924156/y97048,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y97048s.jpg,2024-12-23
lightSpring,Love & Roses Embellished V-Neck Jersey T-Shirt (Yellow),next,top,golden,179 RON,125 RON,https://www.next.ro/ro/style/su918259/w19381,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W19381s.jpg,2024-12-23
